,ReleaseYear,MovieAvgRating
0,1928.0,6.757183098591542
1,1926.0,6.699016393442622
2,2018.0,6.661020362497207
3,1924.0,6.622169811320758
4,1929.0,6.57074340527578
5,1919.0,6.563101604278076
6,1921.0,6.561926605504588
7,1925.0,6.559797297297298
8,1927.0,6.554878048780482
9,1922.0,6.5282722513088975
10,1948.0,6.523693803159176
11,1923.0,6.519999999999998
12,2017.0,6.512843473994064
13,1946.0,6.510714285714296
14,1947.0,6.507441253263706
15,1949.0,6.479911209766926
16,1940.0,6.434902411021814
17,1943.0,6.405281690140841
18,1932.0,6.40211565585332
19,1941.0,6.401592718998852
20,1931.0,6.401456310679604
21,2016.0,6.40045039706055
22,1939.0,6.392984409799555
23,1933.0,6.388185654008444
24,1945.0,6.380030487804884
25,1920.0,6.378199052132702
26,1951.0,6.378162055335977
27,1944.0,6.368067226890766
28,1955.0,6.36385650224215
29,2014.0,6.35950524006824
30,1916.0,6.358854166666666
31,2015.0,6.3534440941062424
32,1938.0,6.351063829787232
33,1963.0,6.342187500000002
34,2012.0,6.339542267495694
35,1952.0,6.336636636636639
36,1937.0,6.335817805383022
37,1960.0,6.335192458758832
38,2011.0,6.331830676195696
39,1930.0,6.329981024667939
40,1942.0,6.329147982062778
41,2013.0,6.3221939424789975
42,1918.0,6.320967741935487
43,1962.0,6.31366642174871
44,1961.0,6.31264108352145
45,1956.0,6.298967297762476
46,1936.0,6.293841336116907
47,1957.0,6.291273584905661
48,2010.0,6.286479629905975
49,1965.0,6.283065595716208
50,2007.0,6.282045723295228
51,2005.0,6.280833333333338
52,1954.0,6.2799448022079245
53,1958.0,6.279010375099762
54,1966.0,6.277654723127041
55,2004.0,6.2761340725806365
56,2009.0,6.2749614316568945
57,1959.0,6.273172628304823
58,1964.0,6.27064343163539
59,1917.0,6.266666666666666
60,1950.0,6.264307078763711
61,1953.0,6.262362637362637
62,1915.0,6.254054054054054
63,2008.0,6.250661099512877
64,1967.0,6.249905601006921
65,1968.0,6.244073455759592
66,2006.0,6.238055271238493
67,1935.0,6.213421342134208
68,1934.0,6.212624999999997
69,2002.0,6.202130109383999
70,1978.0,6.201489117983972
71,2003.0,6.18575380359613
72,1979.0,6.184875727128501
73,1983.0,6.172391084093213
74,1981.0,6.170734284204978
75,1977.0,6.166246418338127
76,1984.0,6.15741199801684
77,1982.0,6.1556695741405925
78,1985.0,6.155068226120871
79,2001.0,6.15179812632214
80,1980.0,6.147163515016689
81,1991.0,6.1245248868778255
82,1976.0,6.121955403087495
83,1996.0,6.1174512987013046
84,1997.0,6.117160212604397
85,1969.0,6.1076710816776885
86,1970.0,6.102201933404948
87,2000.0,6.100779473855151
88,1992.0,6.09318899413622
89,1998.0,6.091953182150683
90,1975.0,6.091480611045823
91,1914.0,6.08119658119658
92,1972.0,6.081190223166847
93,1974.0,6.0800973499188835
94,1994.0,6.070551876379685
95,1973.0,6.070268845545588
96,1993.0,6.066466789667911
97,1999.0,6.065169694892028
98,1987.0,6.061527967257857
99,1971.0,6.0425896201177105
100,1986.0,6.029539040451559
101,1988.0,6.020096111839238
102,1989.0,6.015192644483369
103,1990.0,6.0135036496350285
104,1995.0,5.98285097192225
105,1913.0,5.934666666666668
106,1912.0,5.891891891891892
107,1894.0,5.5
108,1911.0,5.1711111111111085
109,1901.0,5.1
110,1910.0,4.997777777777778
111,1897.0,4.95
112,1908.0,4.931250000000001
113,1909.0,4.930303030303031
114,1904.0,4.883333333333334
115,1900.0,4.879999999999999
116,1907.0,4.655555555555556
117,1903.0,4.62
118,1899.0,4.3999999999999995
119,1902.0,4.333333333333333
120,1905.0,4.255555555555556
121,1898.0,4.085714285714285
122,1906.0,3.946153846153846
123,2019.0,
124,2020.0,
125,2021.0,
126,2022.0,
127,2023.0,
128,2024.0,
129,2025.0,
130,2115.0,
